Role,Product,OpCo,Half,value,BaseColour,Present,,
Data Engineer/Architect,Retail/eCommerce,Data Mining,Bottom,4,#7fba88,0,,
Data Engineer/Architect,Retail/eCommerce,Data Visualisation,Bottom,4,#83af9b,0,,
Data Engineer/Architect,Retail/eCommerce,Data Analysis,Bottom,4,#A9CBCF,1,,
Data Engineer/Architect,Retail/eCommerce,Blank,Bottom,2,,0,,
Data Engineer/Architect,Healthcare / Medical,Blank,Bottom,2,,0,,
Data Engineer/Architect,Healthcare / Medical,Data Collection,Bottom,4,#fe4365,0,,
Data Engineer/Architect,Healthcare / Medical,Data Cleaning,Bottom,4,#f37251,0,,
Data Engineer/Architect,Healthcare / Medical,Programming Languages,Bottom,4,#e7b05d,0,,
Data Engineer/Architect,Healthcare / Medical,Data Integration,Bottom,4,#dcdb68,0,,
Data Engineer/Architect,Healthcare / Medical,Data Storage,Bottom,4,#add171,0,,
Data Engineer/Architect,Healthcare / Medical,Data Mining,Bottom,4,#7fba88,0,,
Data Engineer/Architect,Healthcare / Medical,Data Visualisation,Bottom,4,#83af9b,0,,
Data Engineer/Architect,Healthcare / Medical,Data Analysis,Bottom,4,#A9CBCF,0,,
Data Engineer/Architect,Healthcare / Medical,Blank,Bottom,2,,0,,
Data & Analytics Manager,TopBlank,Blank,Top,2,,0,,
Data & Analytics Manager,TopBlank,TopBlank,Top,32,#fcfcfc,,,
Data & Analytics Manager,TopBlank,Blank,Top,2,,0,,
Data & Analytics Manager,Finance & Insurance,Blank,Top,2,,0,,
Data & Analytics Manager,Finance & Insurance,Data Collection,Top,4,#fe4365,1,,
Data & Analytics Manager,Finance & Insurance,Data Cleaning,Top,4,#f37251,1,,
Data & Analytics Manager,Finance & Insurance,Programming Languages,Top,4,#e7b05d,0,,
Data & Analytics Manager,Finance & Insurance,Data Integration,Top,4,#dcdb68,1,,
Data & Analytics Manager,Finance & Insurance,Data Storage,Top,4,#add171,1,,
Data & Analytics Manager,Finance & Insurance,Data Mining,Top,4,#7fba88,1,,
Data & Analytics Manager,Finance & Insurance,Data Visualisation,Top,4,#83af9b,1,,
Data & Analytics Manager,Finance & Insurance,Data Analysis,Top,4,#A9CBCF,1,,
Data & Analytics Manager,Finance & Insurance,Blank,Top,2,,0,,
Data & Analytics Manager,Fraud & Cybersecurity,Blank,Top,2,,0,,
Data & Analytics Manager,Fraud & Cybersecurity,Data Collection,Top,4,#fe4365,0,,
Data & Analytics Manager,Fraud & Cybersecurity,Data Cleaning,Top,4,#f37251,0,,
Data & Analytics Manager,Fraud & Cybersecurity,Programming Languages,Top,4,#e7b05d,0,,
Data & Analytics Manager,Fraud & Cybersecurity,Data Integration,Top,4,#dcdb68,0,,
Data & Analytics Manager,Fraud & Cybersecurity,Data Storage,Top,4,#add171,0,,
Data & Analytics Manager,Fraud & Cybersecurity,Data Mining,Top,4,#7fba88,0,,
Data & Analytics Manager,Fraud & Cybersecurity,Data Visualisation,Top,4,#83af9b,0,,
Data & Analytics Manager,Fraud & Cybersecurity,Data Analysis,Top,4,#A9CBCF,0,,
Data & Analytics Manager,Fraud & Cybersecurity,Blank,Top,2,,0,,
Data & Analytics Manager,Public Sector,Blank,Top,2,,0,,
Data & Analytics Manager,Public Sector,Data Collection,Top,4,#fe4365,1,,
Data & Analytics Manager,Public Sector,Data Cleaning,Top,4,#f37251,1,,
Data & Analytics Manager,Public Sector,Programming Languages,Top,4,#e7b05d,0,,
Data & Analytics Manager,Public Sector,Data Integration,Top,4,#dcdb68,1,,
Data & Analytics Manager,Public Sector,Data Storage,Top,4,#add171,1,,
Data & Analytics Manager,Public Sector,Data Mining,Top,4,#7fba88,1,,
Data & Analytics Manager,Public Sector,Data Visualisation,Top,4,#83af9b,1,,
Data & Analytics Manager,Public Sector,Data Analysis,Top,4,#A9CBCF,1,,
Data & Analytics Manager,Public Sector,Blank,Top,2,,0,,
Data & Analytics Manager,Life & Chemical Sciences,Blank,Top,2,,0,,
Data & Analytics Manager,Life & Chemical Sciences,Data Collection,Top,4,#fe4365,1,,
Data & Analytics Manager,Life & Chemical Sciences,Data Cleaning,Top,4,#f37251,0,,
Data & Analytics Manager,Life & Chemical Sciences,Programming Languages,Top,4,#e7b05d,0,,
Data & Analytics Manager,Life & Chemical Sciences,Data Integration,Top,4,#dcdb68,0,,
Data & Analytics Manager,Life & Chemical Sciences,Data Storage,Top,4,#add171,1,,
Data & Analytics Manager,Life & Chemical Sciences,Data Mining,Top,4,#7fba88,1,,
Data & Analytics Manager,Life & Chemical Sciences,Data Visualisation,Top,4,#83af9b,0,,
Data & Analytics Manager,Life & Chemical Sciences,Data Analysis,Top,4,#A9CBCF,0,,
Data & Analytics Manager,Life & Chemical Sciences,Blank,Top,2,,0,,
Data & Analytics Manager,BottomBlank,Blank,Bottom,2,,0,,
Data & Analytics Manager,BottomBlank,BottomBlank,Bottom,32,#fcfcfc,0,,
Data & Analytics Manager,BottomBlank,Blank,Bottom,2,,0,,
Data & Analytics Manager,IT and Tech,Blank,Bottom,2,,0,,
Data & Analytics Manager,IT and Tech,Data Collection,Bottom,4,#fe4365,1,,
Data & Analytics Manager,IT and Tech,Data Cleaning,Bottom,4,#f37251,1,,
Data & Analytics Manager,IT and Tech,Programming Languages,Bottom,4,#e7b05d,0,,
Data & Analytics Manager,IT and Tech,Data Integration,Bottom,4,#dcdb68,1,,
Data & Analytics Manager,IT and Tech,Data Storage,Bottom,4,#add171,1,,
Data & Analytics Manager,IT and Tech,Data Mining,Bottom,4,#7fba88,1,,
Data & Analytics Manager,IT and Tech,Data Visualisation,Bottom,4,#83af9b,1,,
Data & Analytics Manager,IT and Tech,Data Analysis,Bottom,4,#A9CBCF,1,,
Data & Analytics Manager,IT and Tech,Blank,Bottom,2,,0,,
Data & Analytics Manager,Manufacturing,Blank,Bottom,2,,0,,
Data & Analytics Manager,Manufacturing,Data Collection,Bottom,4,#fe4365,1,,
Data & Analytics Manager,Manufacturing,Data Cleaning,Bottom,4,#f37251,0,,
Data & Analytics Manager,Manufacturing,Programming Languages,Bottom,4,#e7b05d,0,,
Data & Analytics Manager,Manufacturing,Data Integration,Bottom,4,#dcdb68,0,,
Data & Analytics Manager,Manufacturing,Data Storage,Bottom,4,#add171,1,,
Data & Analytics Manager,Manufacturing,Data Mining,Bottom,4,#7fba88,1,,
Data & Analytics Manager,Manufacturing,Data Visualisation,Bottom,4,#83af9b,0,,
Data & Analytics Manager,Manufacturing,Data Analysis,Bottom,4,#A9CBCF,0,,
Data & Analytics Manager,Manufacturing,Blank,Bottom,2,,0,,
Data & Analytics Manager,Retail/eCommerce,Blank,Bottom,2,,0,,
Data & Analytics Manager,Retail/eCommerce,Data Collection,Bottom,4,#fe4365,1,,
Data & Analytics Manager,Retail/eCommerce,Data Cleaning,Bottom,4,#f37251,1,,
Data & Analytics Manager,Retail/eCommerce,Programming Languages,Bottom,4,#e7b05d,0,,
Data & Analytics Manager,Retail/eCommerce,Data Integration,Bottom,4,#dcdb68,0,,
Data & Analytics Manager,Retail/eCommerce,Data Storage,Bottom,4,#add171,1,,
Data & Analytics Manager,Retail/eCommerce,Data Mining,Bottom,4,#7fba88,1,,
Data & Analytics Manager,Retail/eCommerce,Data Visualisation,Bottom,4,#83af9b,1,,
Data & Analytics Manager,Retail/eCommerce,Data Analysis,Bottom,4,#A9CBCF,1,,
Data & Analytics Manager,Retail/eCommerce,Blank,Bottom,2,,0,,
Data & Analytics Manager,Healthcare / Medical,Blank,Bottom,2,,0,,
Data & Analytics Manager,Healthcare / Medical,Data Collection,Bottom,4,#fe4365,1,,
Data & Analytics Manager,Healthcare / Medical,Data Cleaning,Bottom,4,#f37251,1,,
Data & Analytics Manager,Healthcare / Medical,Programming Languages,Bottom,4,#e7b05d,0,,
